    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    57123.515960     0.02083    13.59500    -0.01448     0.01448    18.29754 CLEAR data/J1555+1111_20150411_122259_Apr5bnev_kait_clear_c.fit
    57126.526880     0.02083    13.72900    -0.03334     0.03334    17.39848 CLEAR data/J1555+1111_20150414_123842_Apr5enmd_kait_clear_c.fit
    57131.504090     0.02083    13.59300    -0.00941     0.00941    19.18104 CLEAR data/J1555+1111_20150419_120553_Apr5jmwy_kait_clear_c.fit
    57135.484390     0.02083    13.63000    -0.01347     0.01347    19.25427 CLEAR data/J1555+1111_20150423_113731_Apr5nmjw_kait_clear_c.fit
    57138.480120     0.02083    13.59100    -0.00962     0.00962    18.82837 CLEAR data/J1555+1111_20150426_113122_Apr5qmha_kait_clear_c.fit
    57141.506350     0.02083    13.60700    -0.01049     0.01049    18.70156 CLEAR data/J1555+1111_20150429_120909_Apr5tmyl_kait_clear_c.fit
    57153.456250     0.02083    13.63000    -0.01232     0.01232    18.53901 CLEAR data/J1555+1111_20150511_105700_May5blre_kait_clear_c.fit
    57160.460230     0.02083    13.76900    -0.01245     0.01245    18.30100 CLEAR data/J1555+1111_20150518_110244_May5iltv_kait_clear_c.fit
    57163.427960     0.02083    13.83100    -0.01522     0.01522    19.19940 CLEAR data/J1555+1111_20150521_101616_May5lkyi_kait_clear_c.fit
    57166.456500     0.02083    13.72900    -0.00960     0.00960    18.77106 CLEAR data/J1555+1111_20150524_105722_May5olrj_kait_clear_c.fit
    57169.430660     0.02083    13.69800    -0.02519     0.02519    19.11196 CLEAR data/J1555+1111_20150527_102009_May5rlae_kait_clear_c.fit
    57179.376450     0.02083    13.77200    -0.01254     0.01254    18.72657 CLEAR data/J1555+1111_20150606_090205_Jun56jqd_kait_clear_c.fit
    57182.366050     0.02083    13.72400    -0.01126     0.01126    19.11100 CLEAR data/J1555+1111_20150609_084707_Jun59jjf_kait_clear_c.fit
    57185.378380     0.02083    13.76400    -0.00965     0.00965    18.72517 CLEAR data/J1555+1111_20150612_090452_Jun5cjrl_kait_clear_c.fit
    57188.340770     0.02083    13.85500    -0.01919     0.01919    19.23496 CLEAR data/J1555+1111_20150615_081043_Jun5fisk_kait_clear_c.fit
    57193.356890     0.02083    13.89200    -0.01244     0.01244    18.49596 CLEAR data/J1555+1111_20150620_083355_Jun5kjdd_kait_clear_c.fit
    57196.357710     0.02083    13.99000    -0.01063     0.01063    19.05180 CLEAR data/J1555+1111_20150623_083506_Jun5njdr_kait_clear_c.fit
    57199.298090     0.02083    14.05100    -0.00949     0.00949    18.88772 CLEAR data/J1555+1111_20150626_070915_Jun5qhqb_kait_clear_c.fit
    57206.271890     0.02083    13.99400    -0.04528     0.04528    16.82381 CLEAR data/J1555+1111_20150703_063131_Jul53gyq_kait_clear_c.fit
    57209.265580     0.02083    14.03800    -0.00957     0.00957    19.14886 CLEAR data/J1555+1111_20150706_062226_Jul56gul_kait_clear_c.fit
    57215.221280     0.02083    14.04000    -0.01140     0.01140    19.09769 CLEAR data/J1555+1111_20150712_051839_Jul5cfqz_kait_clear_c.fit
    57220.215390     0.02083    13.96600    -0.01042     0.01042    19.15105 CLEAR data/J1555+1111_20150717_051010_Jul5hfnc_kait_clear_c.fit
    57440.580730     0.02083    14.19100    -0.04129     0.04129    16.73096 CLEAR data/J1555+1111_20160222_135615_Feb6movx_kait_clear_c.fit
    57443.583180     0.02083    14.31600    -0.02085     0.02085    17.78091 CLEAR data/J1555+1111_20160225_135947_Feb6poxm_kait_clear_c.fit
    57467.558870     0.02083    14.12200    -0.02180     0.02180    17.74682 CLEAR data/J1555+1111_20160320_132446_Mar6kohj_kait_clear_c.fit
